Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/14, 1:43 PM","KGBT","0","","","TEXT_MESSAGE_APP","",""
"3/14, 5:36 PM","!e8c8470b","0","","","TEXT_MESSAGE_APP","3 / 7",""
"3/14, 5:42 PM","!49b54b64","0","","","TEXT_MESSAGE_APP","3 / 3",""
"3/14, 5:52 PM","!49b54b64","0","","","TEXT_MESSAGE_APP","4 / 7",""
"3/14, 6:04 PM","📡","0","","","TEXT_MESSAGE_APP","3 / 7",""
"3/14, 9:26 PM","0xFC to 📡","","","","TRACEROUTE","",""
"3/14, 6:41 PM","!e00cd7f8","0","","","TEXT_MESSAGE_APP","",""
"3/14, 6:47 PM","!e00cd7f8","0","","","TEXT_MESSAGE_APP","5 / 7",""
"3/14, 6:48 PM","!e00cd7f8","0","","","TEXT_MESSAGE_APP","5 / 7",""
"3/14, 6:49 PM","!e00cd7f8","0","","","TEXT_MESSAGE_APP","5 / 7",""
"3/14, 6:49 PM","!f81ec255","0","","","TEXT_MESSAGE_APP","6 / 7",""
"3/14, 6:51 PM","!f81ec255","0","","","TEXT_MESSAGE_APP","5 / 7",""
"3/14, 6:52 PM","!e00cd7f8","0","","","TEXT_MESSAGE_APP","5 / 7",""
"3/14, 6:52 PM","D","0","","","TEXT_MESSAGE_APP","5 / 7",""
"3/14, 8:59 PM","MFMP","2","","","TEXT_MESSAGE_APP","1 / 5",""
"3/14, 9:00 PM","MFMP","0","","","TEXT_MESSAGE_APP","2 / 5",""
"3/14, 9:01 PM","GOYL","0","","","TEXT_MESSAGE_APP","2 / 4",""
"3/14, 9:09 PM","MT","0","6.75","-50","TEXT_MESSAGE_APP","0 / 7",""
"3/14, 9:11 PM","Mfeb","0","","","TEXT_MESSAGE_APP","2 / 3",""
"3/14, 9:11 PM","MFMP","0","","","TEXT_MESSAGE_APP","1 / 5",""
"3/14, 9:11 PM","MFMP","2","","","TEXT_MESSAGE_APP","3 / 5",""
"3/14, 9:12 PM","MFMP","0","","","TEXT_MESSAGE_APP","2 / 5",""
"3/14, 9:12 PM","U951","2","MQTT","","TEXT_MESSAGE_APP","4 / 7",""
"3/14, 9:13 PM","GOYL","0","","","TEXT_MESSAGE_APP","2 / 4",""
"3/14, 9:18 PM","Pak1","0","","","TEXT_MESSAGE_APP","2 / 3",""
"3/14, 9:18 PM","MT","0","6.25","-49","TEXT_MESSAGE_APP","0 / 7",""
"3/14, 9:18 PM","MT","2","6.25","-49","TEXT_MESSAGE_APP","0 / 7",""
"3/14, 9:20 PM","MFMP","0","","","TEXT_MESSAGE_APP","5 / 5",""
"3/14, 9:21 PM","MFMP","0","","","TEXT_MESSAGE_APP","2 / 5",""
"3/14, 9:22 PM","MFMP","2","","","TEXT_MESSAGE_APP","4 / 5",""
"3/14, 9:23 PM","MT","0","6","-49","TEXT_MESSAGE_APP","0 / 7",""
"3/14, 9:24 PM","MFMP","2","","","TEXT_MESSAGE_APP","2 / 5",""
"3/14, 9:24 PM","MT","2","6.25","-49","TEXT_MESSAGE_APP","0 / 7",""
"3/14, 9:26 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/14, 9:26 PM","0xFC","0","","","TEXT_MESSAGE_APP","",""
"3/14, 9:26 PM","0xFC to D","","","","TRACEROUTE","",""
"3/14, 9:26 PM","📡 to 0xFC","0","","","TRACEROUTE_APP","2 / 4","0xFC -> MT -> enfm -> 📡"
"3/14, 9:27 PM","0xFC to MFMP","","","","TRACEROUTE","",""
"3/14, 9:27 PM","0xFC","0","","","TEXT_MESSAGE_APP","",""
"3/14, 9:27 PM","0xFC to Mfeb","","","","TRACEROUTE","",""
"3/14, 9:28 PM","MFMP","2","","","TEXT_MESSAGE_APP","3 / 5",""
"3/14, 9:28 PM","0xFC to U951","","","","TRACEROUTE","",""
"3/14, 9:28 PM","0xFC","0","","","TEXT_MESSAGE_APP","",""
"3/14, 9:28 PM","d7af","0","","","POSITION_APP","2 / 3","(37.991, -121.746) ?m asl"
"3/14, 9:28 PM","0xFC to Pak1","","","","TRACEROUTE","",""
"3/14, 9:28 PM","WB6T to d7af","0","","","NODEINFO_APP","2 / 3","WB6TOU"
"3/14, 9:28 PM","GOYL","0","","","TEXT_MESSAGE_APP","3 / 4",""
"3/14, 9:28 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
"3/14, 9:29 PM","0xFC to d7af","","","","TRACEROUTE","",""
"3/14, 9:29 PM","9874 to A23G","0","","","NODEINFO_APP","3 / 3","Meshtastic 9874"
"3/14, 9:29 PM","Pak1","0","","","POSITION_APP","2 / 3","(37.356, -120.560) 51m asl"
"3/14, 9:29 PM","A23G","0","MQTT","","TELEMETRY_APP","3 / 5","4.2V 98%"
"3/14, 9:29 PM","0xFC to A23G","","","","TRACEROUTE","",""
"3/14, 9:29 PM","9110 to A23G","0","","","NODEINFO_APP","3 / 3","Meshtastic 9110"
"3/14, 9:29 PM","8998","0","","","POSITION_APP","5 / 7","(37.254, -121.888) 55m asl"
"3/14, 9:29 PM","Gold","0","","","POSITION_APP","3 / 3","(37.542, -120.065) 1290m asl"
"3/14, 9:30 PM","!66deddf9","126","","","encrypted","5 / 7",""
"3/14, 9:30 PM","0xFC to 8998","","","","TRACEROUTE","",""
"3/14, 9:30 PM","BOOM","0","","","POSITION_APP","3 / 5","(36.831, -119.878) 101m asl"
"3/14, 9:30 PM","!49b54b64","0","","","TEXT_MESSAGE_APP","2 / 3",""
"3/14, 9:30 PM","SLD1 to !49b54b64","0","","","NODEINFO_APP","3 / 7","SierraLD1"
"3/14, 9:30 PM","tblu","0","","","TELEMETRY_APP","1 / 5","4.0V 84%"
"3/14, 9:30 PM","0xFC to BOOM","","","","TRACEROUTE","",""
"3/14, 9:30 PM","MFMP","0","","","NODEINFO_APP","4 / 5","MFM Portable"
"3/14, 9:30 PM","RIPR to 6d5c","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
