Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"","Bee1","0","","","NODEINFO_APP","3 / 3","Bee1"
"","!554d0b7","0","","","POSITION_APP","5 / 6","(36.779, -119.826) 85m asl"
"3/12, 8:40 PM","LBWS","0","","","TELEMETRY_APP","4 / 5","4.0V 101%"
"3/12, 8:40 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/12, 8:41 PM","Tw1","0","","","NODEINFO_APP","5 / 7","Tower 1"
"3/12, 8:41 PM","RIPR to LORD","0","","","NODEINFO_APP","1 / 3","Ripon_Router"
"3/12, 8:41 PM","TWKE","0","","","NODEINFO_APP","2 / 5","Buck Rodgers & Twiki"
"3/12, 8:42 PM","A23G","0","MQTT","","TELEMETRY_APP","3 / 5","4.2V 98%"
"3/12, 8:42 PM","0xFC to A23G","","","","TRACEROUTE","",""
"3/12, 8:43 PM","A23G","0","MQTT","","POSITION_APP","5 / 5","(37.754, -122.413) 30m asl"
"3/12, 8:43 PM","!43596d5c","0","","","POSITION_APP","3 / 3","(37.723, -121.923) 119m asl"
"3/12, 8:43 PM","ba84 to !43596d5c","0","","","NODEINFO_APP","4 / 7","Meshtastic ba84"
"3/12, 8:44 PM","P2NE","0","","","POSITION_APP","2 / 5","(38.235, -120.339) 1187m asl"
"3/12, 8:44 PM","0xFC to P2NE","","","","TRACEROUTE","",""
"3/12, 8:44 PM","RIPR","0","","","TELEMETRY_APP","1 / 3","4.1V 93%"
"3/12, 8:44 PM","Bee1","0","","","NODEINFO_APP","3 / 3","Bee1"
"3/12, 8:44 PM","!739eeca8","0","","","POSITION_APP","2 / 3","(37.356, -120.560) 50m asl"
"3/12, 8:44 PM","!34a5bb81","0","","","POSITION_APP","7 / 7","(37.461, -122.154) 15m asl"
"3/12, 8:45 PM","!554d0b7","0","","","POSITION_APP","6 / 6","(36.779, -119.826) 85m asl"
"3/12, 8:46 PM","0xFC to !554d0b7","","","","TRACEROUTE","",""
"3/12, 8:46 PM","!b6253e97","0","","","POSITION_APP","3 / 4","(36.861, -119.740) 107m asl"
"3/12, 8:46 PM","elxx","0","","","POSITION_APP","3 / 7","(37.985, -120.298) 691m asl"
"3/12, 8:46 PM","!336780b0","0","","","POSITION_APP","7 / 7","(37.703, -122.441) 41m asl"
"3/12, 8:46 PM","MT","0","6","-45","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/12, 8:46 PM","RIPR to !51de3955","0","","","NODEINFO_APP","3 / 3","Ripon_Router"
"3/12, 8:47 PM","U951","0","MQTT","","POSITION_APP","3 / 7","(37.754, -122.410) 20m asl"
"3/12, 8:47 PM","0xFC to U951","","","","TRACEROUTE","",""
"3/12, 8:47 PM","0xFA","0","7.5","-28","NODEINFO_APP","0 / 7","0xFA Shrike"
"3/12, 8:47 PM","0xFB","0","6.75","-27","NODEINFO_APP","0 / 7","Meshtastic 0xFB"
"3/12, 8:48 PM","0xFC","0","","","TEXT_MESSAGE_APP","",""
"3/12, 8:48 PM","0xFB","0","6.5","-27","TELEMETRY_APP","0 / 7","4.0V 78%"
"3/12, 8:48 PM","a344","0","6","-33","NODEINFO_APP","0 / 7","Queen Spider"
"3/12, 8:48 PM","a344","0","6","-38","POSITION_APP","0 / 7","(38.050, -120.416) ?m asl"
