Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"","jwt1","0","","","POSITION_APP","2 / 5","(38.021, -120.364) 974m asl"
"4/5, 11:24 AM","0xFC to jwt1","","","","TRACEROUTE","",""
"","0xFC","0","","","TELEMETRY_APP","",""
"","jwt1","0","","","POSITION_APP","2 / 5","(38.021, -120.364) 974m asl"
"","P2NE","0","","","POSITION_APP","4 / 5","(38.235, -120.339) 1187m asl"
"","St35","0","","","POSITION_APP","6 / 7","(37.251, -121.818) 66m asl"
"","jwt1 to 0xFC","0","","","NODEINFO_APP","1 / 5","jwt1 n6jwt"
"","P1NE","0","","","TELEMETRY_APP","2 / 5","4.1V 92%"
"","TM1","0","","","TELEMETRY_APP","3 / 3","0.0V 101%"
"","jwt1","0","","","POSITION_APP","1 / 5","(38.021, -120.364) 974m asl"
"","elxx","0","","","POSITION_APP","2 / 7","(37.985, -120.403) 594m asl"
"4/5, 11:26 AM","0xFC to elxx","","","","TRACEROUTE","",""
"4/5, 5:28 AM","elxx to 0xFC","0","","","TRACEROUTE_APP","2 / 5","0xFC -> MT -> enrr -> BTVW -> GG01 -> elxx"
"4/5, 5:28 AM","jwt1","0","","","POSITION_APP","1 / 5","(38.021, -120.364) 974m asl"
"4/5, 5:29 AM","jwt1","0","","","POSITION_APP","1 / 5","(38.021, -120.364) 974m asl"
"4/5, 5:29 AM","TM1","0","","","POSITION_APP","1 / 3","(37.513, -120.875) 40m asl"
"4/5, 5:29 AM","7660","0","","","NODEINFO_APP","4 / 7","Tower 7660"
"4/5, 5:29 AM","GG01","0","","","POSITION_APP","1 / 5","(37.985, -120.403) 629m asl"
"4/5, 5:29 AM","BTVW","0","","","TELEMETRY_APP","2 / 7","4.2V 100%"
"4/5, 5:29 AM","nbdy to MYR1","0","","","NODEINFO_APP","5 / 5","nobody"
"4/5, 5:30 AM","STN1","0","","","TELEMETRY_APP","5 / 7","4.1V 90%"
"4/5, 5:30 AM","e6b8 to STN1","0","","","NODEINFO_APP","2 / 4","Meshtastic e6b8"
"4/5, 5:30 AM","jwt1","0","","","POSITION_APP","1 / 5","(38.021, -120.364) 974m asl"
"4/5, 5:30 AM","BTVW","0","MQTT","","NODEINFO_APP","4 / 7","Dorrington West"
"4/5, 5:30 AM","!34a5bb81","0","","","POSITION_APP","7 / 7","(37.461, -122.154) 2m asl"
