Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/10, 11:00 PM","0xFC","0","","","TEXT_MESSAGE_APP","",""
"","🏡","0","","","NODEINFO_APP","7 / 7","DV Base Station"
"","8c32","0","","","NODEINFO_APP","3 / 5","Pinebrook Kirt"
"","ba84","0","","","NODEINFO_APP","4 / 5","Meshtastic ba84"
"","!ac259c2d","0","","","TELEMETRY_APP","7 / 7","3.8V 51%"
"","MFMQ","0","","","POSITION_APP","3 / 4","(38.142, -120.403) 1038m asl"
"3/10, 11:01 PM","0xFC to MFMQ","","","","TRACEROUTE","",""
"3/10, 10:51 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/10, 10:52 PM","A23G","0","MQTT","","POSITION_APP","4 / 5","(37.754, -122.413) 30m asl"
"3/10, 11:02 PM","0xFC to A23G","","","","TRACEROUTE","",""
"3/10, 10:53 PM","8998","0","","","POSITION_APP","5 / 7","(37.254, -121.888) 55m asl"
"3/10, 11:02 PM","0xFC to 8998","","","","TRACEROUTE","",""
"3/10, 10:53 PM","🌋","0","","","TELEMETRY_APP","1 / 3",""
"3/10, 10:53 PM","TM1","0","","","POSITION_APP","1 / 3","(37.513, -120.875) 40m asl"
"3/10, 11:03 PM","0xFC to TM1","","","","TRACEROUTE","",""
"3/10, 10:53 PM","TM1","0","","","TELEMETRY_APP","2 / 3","0.0V 101%"
"3/10, 10:54 PM","RIPR","0","","","TELEMETRY_APP","1 / 3","4.1V 96%"
"3/10, 10:55 PM","MT","0","6.25","-60","TEXT_MESSAGE_APP","0 / 7",""
"3/10, 10:55 PM","BIC","0","","","POSITION_APP","2 / 3","(38.037, -121.661) -16m asl"
"3/10, 11:04 PM","0xFC to BIC","","","","TRACEROUTE","",""
"3/10, 10:55 PM","WB6T to BIC","0","","","NODEINFO_APP","3 / 3","WB6TOU"
"3/10, 10:55 PM","P2NE","0","","","POSITION_APP","3 / 5","(38.235, -120.339) 1187m asl"
"3/10, 10:56 PM","MT","0","3.25","-64","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/10, 10:57 PM","Gmli to !9387896c","0","","","NODEINFO_APP","4 / 4","Gimli"
"3/10, 10:58 PM","!fc5336de","0","","","POSITION_APP","5 / 7","(38.457, -121.346) 18m asl"
"3/10, 11:01 PM","MFMS","0","","","TELEMETRY_APP","1 / 7","4.1V 101%"
"3/10, 11:01 PM","AB01","0","","","TELEMETRY_APP","6 / 7","4.3V 100%"
"3/10, 11:01 PM","RIPR","0","","","TELEMETRY_APP","1 / 3","4.1V 96%"
"3/10, 11:01 PM","!7c86c9d2","97","","","encrypted","2 / 4",""
"3/10, 11:01 PM","MU79","0","","","POSITION_APP","5 / 7","(38.008, -122.320) ?m asl"
