Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"","0xFC","0","","","TELEMETRY_APP","",""
"","8998","0","","","POSITION_APP","6 / 7","(37.254, -121.888) 55m asl"
"4/26, 8:51 AM","0xFC to 8998","","","","TRACEROUTE","",""
"","2569","95","","","encrypted","4 / 5",""
"","6d5c","0","","","POSITION_APP","3 / 3","(37.723, -121.923) 116m asl"
"","MFMY","0","","","NODEINFO_APP","3 / 6","MFM Mini Yellow"
"","DBLF","0","","","NODEINFO_APP","2 / 3","Diablo W6CX LF"
"","d7af","0","","","POSITION_APP","2 / 3","(37.990, -121.744) ?m asl"
"","8998","0","","","POSITION_APP","5 / 7","(37.254, -121.888) 55m asl"
"","Luck to d7af","0","6.25","-38","NODEINFO_APP","","Meshtastic Luckys CV"
"","BCN1","0","","","POSITION_APP","5 / 7","(37.408, -121.871) 40m asl"
"4/26, 8:37 AM","HA0","0","","","TELEMETRY_APP","2 / 7","4.2V 100%"
"4/26, 8:37 AM","2569","95","","","encrypted","4 / 5",""
"4/26, 8:37 AM","enfm","0","","","NODEINFO_APP","1 / 7","ERSN Forest Meadows"
"4/26, 8:38 AM","MYR1","0","-19.5","-128","TELEMETRY_APP","","4.0V 83%"
"4/26, 8:38 AM","!34a5bb81","0","","","POSITION_APP","7 / 7","(37.461, -122.154) -1m asl"
"4/26, 8:39 AM","2230","95","","","encrypted","5 / 5",""
"4/26, 8:39 AM","2569","95","","","encrypted","4 / 5",""
"4/26, 8:52 AM","0xFC to MFMY","","","","TRACEROUTE","",""
"4/26, 8:52 AM","0xFC to DBLF","","","","TRACEROUTE","",""
"4/26, 8:40 AM","enfm","0","","","POSITION_APP","1 / 7","(38.161, -120.424) 1024m asl"
"4/26, 8:53 AM","0xFC to d7af","","","","TRACEROUTE","",""
"4/26, 8:53 AM","0xFC to BCN1","","","","TRACEROUTE","",""
"4/26, 8:41 AM","8998","0","","","POSITION_APP","4 / 7","(37.254, -121.888) 55m asl"
"4/26, 8:41 AM","D","0","","","NODEINFO_APP","6 / 7","Davetastic"
"4/26, 8:42 AM","MR1","0","","","POSITION_APP","3 / 7","(37.807, -121.224) 12m asl"
"4/26, 8:43 AM","JPH","0","","","TELEMETRY_APP","6 / 7","3.7V 55%"
"4/26, 8:44 AM","!196e3a0a","0","","","POSITION_APP","7 / 7","(37.408, -122.133) 9m asl"
"4/26, 8:44 AM","MFMY","0","","","POSITION_APP","3 / 6","(38.142, -120.403) 1029m asl"
"4/26, 8:45 AM","SN04","0","","","NODEINFO_APP","3 / 3","Solar Node 04"
"4/26, 8:45 AM","!34b4071d","214","","","encrypted","4 / 4",""
"4/26, 8:45 AM","8998","0","","","POSITION_APP","3 / 7","(37.254, -121.888) 55m asl"
"4/26, 8:46 AM","RGKg","0","","","POSITION_APP","4 / 4","(37.311, -121.951) 25m asl"
"4/26, 8:59 AM","0xFC to RGKg","","","","TRACEROUTE","",""
"4/26, 8:46 AM","0xFC","0","","","TELEMETRY_APP","",""
"4/26, 8:47 AM","!a0352838","127","","","encrypted","3 / 3",""
