Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"","0xFC","0","","","TELEMETRY_APP","",""
"","elxx","0","","","POSITION_APP","1 / 7","(37.985, -120.403) 620m asl"
"","MT","0","6","-52","TEXT_MESSAGE_APP","0 / 7",""
"","elxx to !ea341ab4","0","","","NODEINFO_APP","1 / 7","GG_crumpled.01"
"3/23, 7:06 PM","0xFC to elxx","","","","TRACEROUTE","",""
"","d7af","0","","","TELEMETRY_APP","2 / 3","0.0V 101%"
"3/23, 7:07 PM","0xFC","0","","","TEXT_MESSAGE_APP","",""
"","SFB to !43b63f44","0","","","NODEINFO_APP","3 / 3","SF Bifrost"
"","ech0","0","","","STORE_FORWARD_APP","2 / 7",""
"","Mfeb","0","","","TELEMETRY_APP","3 / 3","4.1V 96%"
"","!acaa96f0","0","","","TELEMETRY_APP","6 / 7","4.2V 101%"
"","WRS","0","","","NODEINFO_APP","5 / 7","N6IGF"
"","3d5e","0","","","POSITION_APP","3 / 3","(38.194, -122.133) 0m asl"
"3/23, 7:08 PM","Mshy","0","-9.25","-120","POSITION_APP","","(37.679, -122.407) 133m asl"
"3/23, 7:08 PM","22b8","0","MQTT","","TELEMETRY_APP","5 / 7","4.2V 100%"
"3/23, 7:08 PM","RIPR to CH","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/23, 7:08 PM","STN1","0","","","TELEMETRY_APP","2 / 7","4.2V 98%"
"3/23, 7:08 PM","BIC","0","","","POSITION_APP","3 / 3","(38.037, -121.661) -56m asl"
"3/23, 7:09 PM","STN1","0","","","TELEMETRY_APP","1 / 7",""
"3/23, 7:09 PM","ech0 to RIB1","0","","","NODEINFO_APP","2 / 7","Ech0Wolf"
"3/23, 7:10 PM","RIPR","0","","","TELEMETRY_APP","2 / 3","4.1V 91%"
"3/23, 7:10 PM","!b1ce46ed","0","","","POSITION_APP","7 / 7","(37.775, -122.395) 74m asl"
"3/23, 7:10 PM","TM1","0","","","POSITION_APP","1 / 3","(37.513, -120.875) 40m asl"
"3/23, 7:10 PM","!ccaa4c08","1","","","encrypted","2 / 4",""
"3/23, 7:11 PM","SN04","0","","","TELEMETRY_APP","3 / 3","4.1V 96%"
"3/23, 7:12 PM","BTVW","0","","","TELEMETRY_APP","2 / 7","4.2V 100%"
"3/23, 7:12 PM","🍪","0","","","TEXT_MESSAGE_APP","5 / 7",""
"3/23, 7:12 PM","SLD1 to 🍪","0","","","NODEINFO_APP","3 / 7","SierraLD1"
"3/23, 7:12 PM","!2edba84","0","","","POSITION_APP","5 / 7","(37.303, -120.455) 61m asl"
"3/23, 7:13 PM","🍪 to MYR1","0","","","NODEINFO_APP","3 / 7","🍪👹 / Cookiebot LF (cm/? for menu)"
"3/23, 7:13 PM","!2dcebf44","0","","","TEXT_MESSAGE_APP","3 / 3",""
"3/23, 7:14 PM","🍪","64","","","encrypted","7 / 7",""
"3/23, 7:14 PM","🍪","64","","","encrypted","4 / 7",""
"3/23, 7:14 PM","Mfeb","0","","","POSITION_APP","3 / 3","(37.722, -121.132) 0m asl"
"3/23, 7:14 PM","SLD1","0","","","TELEMETRY_APP","3 / 7","4.3V 101%"
"3/23, 7:16 PM","P2NE","0","","","POSITION_APP","2 / 5","(38.235, -120.339) 1187m asl"
"3/23, 7:17 PM","ee2c","0","-7.25","-118","TELEMETRY_APP","","4.0V 81%"
"3/23, 7:18 PM","37cf","0","-7.75","-119","TELEMETRY_APP","","4.1V 101%"
"3/23, 7:18 PM","jwt4","0","","","POSITION_APP","1 / 3","(38.037, -120.350) 990m asl"
"3/23, 7:18 PM","!66deddf9","126","","","encrypted","4 / 7",""
"3/23, 7:18 PM","jwt5","0","","","POSITION_APP","1 / 3","(38.037, -120.350) 977m asl"
"3/23, 7:19 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/23, 7:20 PM","YX6E","0","MQTT","","POSITION_APP","6 / 7","(37.703, -122.441) 97m asl"
"3/23, 7:20 PM","RIUM to !a2eb4184","0","","","NODEINFO_APP","4 / 7","Dragon UM"
"3/23, 7:21 PM","8998","0","","","POSITION_APP","7 / 7","(37.254, -121.888) 55m asl"
"3/23, 7:21 PM","jwt2","0","-15.5","-126","NODEINFO_APP","0 / 3","jwt2"
"3/23, 7:21 PM","P1NE","0","","","NODEINFO_APP","1 / 5","Pinebrook Solar"
"3/23, 7:21 PM","ech0","0","","","STORE_FORWARD_APP","2 / 7",""
"3/23, 7:22 PM","MYR1","0","-13","-124","TELEMETRY_APP","","4.1V 90%"
"3/23, 7:22 PM","A23G","0","MQTT","","TELEMETRY_APP","3 / 5","4.2V 98%"
"3/23, 7:23 PM","P1NE","0","","","TELEMETRY_APP","1 / 5","4.1V 94%"
"3/23, 7:23 PM","!433e51b0","0","","","TEXT_MESSAGE_APP","7 / 7",""
"3/23, 7:23 PM","STN1","0","","","TELEMETRY_APP","2 / 7","4.2V 98%"
"3/23, 7:24 PM","STN1","0","","","TELEMETRY_APP","1 / 7",""
"3/23, 7:24 PM","8998","0","","","POSITION_APP","7 / 7","(37.254, -121.888) 55m asl"
"3/23, 7:25 PM","0xFC to 8998","","","","TRACEROUTE","",""
"3/23, 7:24 PM","RIPR","0","","","TELEMETRY_APP","1 / 3","4.1V 91%"
"3/23, 7:25 PM","RIPR","0","","","NODEINFO_APP","1 / 3","Ripon_Router"
"3/23, 7:25 PM","3b8f","0","","","POSITION_APP","3 / 3","(37.991, -121.746) 30m asl"
"3/23, 7:26 PM","3b8f to 0xFC","0","","","NODEINFO_APP","3 / 6","Meshtastic 3b8f"
"3/23, 7:27 PM","0xFC to 3b8f","","","","TRACEROUTE","",""
"3/23, 7:27 PM","GG01","0","","","POSITION_APP","1 / 5","(37.985, -120.403) 629m asl"
