Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"","U951","0","MQTT","","POSITION_APP","3 / 7","(37.754, -122.410) 20m asl"
"3/10, 7:39 PM","0xFC to U951","","","","TRACEROUTE","",""
"","BRVM","0","","","TELEMETRY_APP","5 / 5","4.2V 98%"
"","!39d307f7","178","","","encrypted","5 / 7",""
"","!f08bd34e","0","","","TELEMETRY_APP","4 / 4","4.1V 96%"
"","!c3f922b8","0","MQTT","","POSITION_APP","3 / 7","(38.293, -120.275) 1435m asl"
"","!4357ee0c","0","","","POSITION_APP","4 / 4","(37.490, -122.287) 250m asl"
"","!c3f922b8","0","MQTT","","TELEMETRY_APP","3 / 7","4.2V 100%"
"3/10, 7:40 PM","0xFC to !c3f922b8","","","","TRACEROUTE","",""
"","RIPR","0","","","TELEMETRY_APP","2 / 3","4.1V 96%"
"","!336780b0","0","MQTT","","POSITION_APP","7 / 7","(37.703, -122.441) 118m asl"
"","0xFC","0","","","TELEMETRY_APP","",""
"","!a66402e3","0","","","POSITION_APP","2 / 5","(37.985, -120.403) 629m asl"
"","MU79","0","","","POSITION_APP","6 / 7","(38.008, -122.320) ?m asl"
"3/10, 7:38 PM","!a2e50b70","64","","","encrypted","6 / 7",""
"3/10, 7:38 PM","!b33da93d","175","","","encrypted","4 / 6",""
"3/10, 7:39 PM","!a2e50b70","64","","","encrypted","4 / 7",""
"3/10, 7:39 PM","f208","0","","","POSITION_APP","2 / 3","(37.356, -120.560) 51m asl"
"3/10, 7:39 PM","!69842be0","0","","","POSITION_APP","5 / 7","(37.251, -119.826) 474m asl"
"3/10, 7:40 PM","!a2e50b70","64","","","encrypted","3 / 7",""
"3/10, 7:40 PM","A23G","0","MQTT","","TELEMETRY_APP","3 / 5","4.2V 98%"
"3/10, 7:40 PM","!a2e50b70","64","","","encrypted","4 / 7",""
"3/10, 7:40 PM","f208 to !69842be0","0","","","NODEINFO_APP","2 / 3","Meshtastic f208"
"3/10, 7:44 PM","0xFC to f208","","","","TRACEROUTE","",""
"3/10, 7:41 PM","BIC","0","","","POSITION_APP","3 / 3","(38.037, -121.661) -16m asl"
"3/10, 7:41 PM","!3a582099","0","","","TELEMETRY_APP","7 / 7","4.1V 94%"
"3/10, 7:41 PM","enfm","0","-16.5","-127","NODEINFO_APP","0 / 7","ERSN Forest Meadows"
"3/10, 7:42 PM","!c8242056","0","","","POSITION_APP","3 / 3","(37.985, -122.500) 60m asl"
"3/10, 7:42 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
