Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/9, 10:53 PM","enpl","0","","","NODEINFO_APP","1 / 7","ERSN Pinebrook Lake"
"3/9, 10:53 PM","0xFC to enpl","","","","TRACEROUTE","",""
"3/9, 10:53 PM","!fa6ba8dc","107","","","encrypted","7 / 7",""
"3/9, 10:53 PM","enpl to 0xFC","0","","","TRACEROUTE_APP","1 / 4","0xFC -> MT -> enrr -> enpl"
"3/9, 10:54 PM","MFMG","0","MQTT","","POSITION_APP","3 / 5","(38.142, -120.403) ?m asl"
"3/9, 10:54 PM","SLD1","0","","","TELEMETRY_APP","2 / 7","4.3V 101%"
"3/9, 10:54 PM","!c7181daf","0","","","POSITION_APP","3 / 7","(37.942, -120.610) 189m asl"
"3/9, 10:54 PM","0xFC to !c7181daf","","","","TRACEROUTE","",""
"3/9, 10:55 PM","RIPR","0","","","TELEMETRY_APP","3 / 3","4.1V 97%"
"3/9, 10:56 PM","MT","0","6.75","-58","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 10:56 PM","MUHM","0","","","NODEINFO_APP","4 / 6","MU Home"
"3/9, 10:56 PM","0xFC to MUHM","","","","TRACEROUTE","",""
"3/9, 10:57 PM","elxx","0","","","POSITION_APP","3 / 7","(37.985, -120.298) 691m asl"
"3/9, 10:57 PM","0xFC to elxx","","","","TRACEROUTE","",""
"3/9, 10:57 PM","!79cfdddc","0","","","TELEMETRY_APP","3 / 3","0.0V 101%"
"3/9, 10:57 PM","8b04","0","","","NODEINFO_APP","4 / 7","Meshtastic 8b04"
"3/9, 10:57 PM","0xFC to !79cfdddc","","","","TRACEROUTE","",""
"3/9, 10:57 PM","elxx to 0xFC","0","","","NODEINFO_APP","2 / 5","GG_crumpled.01"
"3/9, 10:57 PM","MFMQ","0","MQTT","","POSITION_APP","3 / 4","(38.142, -120.403) 1038m asl"
"3/9, 10:58 PM","ee2c","0","-15.25","-126","NODEINFO_APP","","Meshtastic ee2c"
"3/9, 10:59 PM","!1ebc35b9","0","-14.75","-126","POSITION_APP","","(37.670, -122.080) 159m asl"
"3/9, 11:00 PM","8c32","0","","","NODEINFO_APP","3 / 5","Pinebrook Kirt"
"3/9, 11:01 PM","!bd775b06","107","","","encrypted","6 / 6",""
"3/9, 11:01 PM","!79cfdddc","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/9, 11:02 PM","!34a5bb81","0","","","POSITION_APP","4 / 7","(37.461, -122.154) 25m asl"
"3/9, 11:05 PM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7",""
"3/9, 11:06 PM","elxx","0","","","NODEINFO_APP","3 / 7","GG_crumpled.01"
"3/9, 11:06 PM","MT","0","6","-56","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 11:06 PM","!a2eb8e58","0","","","TELEMETRY_APP","4 / 4","NaNV 101%"
"3/9, 11:06 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/9, 11:07 PM","MUHM","0","","","POSITION_APP","4 / 6","(37.985, -122.343) ?m asl"
"3/9, 11:08 PM","!feb2c7f4","0","","","POSITION_APP","3 / 3","(36.884, -119.774) 109m asl"
"3/9, 11:09 PM","3ad5","0","","","NODEINFO_APP","3 / 3","Meshtastic 3ad5"
"3/9, 11:09 PM","MUHM","0","","","POSITION_APP","4 / 6","(37.985, -122.343) ?m asl"
"3/9, 11:10 PM","RIPR","0","","","TELEMETRY_APP","3 / 3","4.2V 97%"
"3/9, 11:10 PM","!eb45d903","0","","","POSITION_APP","6 / 7","(37.985, -122.343) 19m asl"
"3/9, 11:11 PM","!f7fb4242","0","","","POSITION_APP","7 / 7","(38.778, -123.018) 106m asl"
"3/9, 11:11 PM","!eb45d903","0","","","POSITION_APP","7 / 7","(37.985, -122.343) 19m asl"
"3/9, 11:11 PM","0xFC to !eb45d903","","","","TRACEROUTE","",""
"3/9, 11:12 PM","BRVM","0","","","POSITION_APP","4 / 5","(36.307, -118.830) 1764m asl"
"3/9, 11:12 PM","22b8","0","MQTT","","TELEMETRY_APP","7 / 7","4.2V 100%"
